Christiani	nristianis	X	_
.	.	X	_
agnus	ago	X	_
redemit	redeo	X	_
oves	ovis	X	_
;	;	X	_
Christus	nristus	X	_
innocens	innoco	X	_
patri	pater	X	_
reconciliavit	reconcilio	X	_
peccatores	peccator	X	_
.	.	X	_
mors	mors	X	_
et	et	X	_
vita	vita	X	_
duello	duellus	X	_
conflixere	conflixo	X	_
mirando	miror	X	_
","		X	_
dux	num.~rom.	X	_
vitae	vita	X	_
mortuus	morior	X	_
regnat	regno	X	_
vivus	vivus	X	_
.	.	X	_
Explicit	oxplico	X	_
ludus	ludus	X	_
.	.	X	_
